Gene,Reaction1,Reaction2,Reaction3,Reaction4,Reaction5,Reaction6,Reaction7,Reaction8,Reaction9,Reaction10,Reaction11,Reaction12,Reaction13
Pla2g12a,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gmpr,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufc1,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tbcb,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufa12,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufa7,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dctpp1,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Uggt2,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyc1,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mgst3,Eicosanoid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nmnat1,NAD metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ptpmt1,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufb3,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Asrgl1,Alanine and aspartate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Uqcrh,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Crls1,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cmpk1,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Uqcr11,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Spcs2,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rpe,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acp6,Aminosugar metabolism,CoA catabolism,,NAD metabolism,Purine catabolism,Pyrimidine catabolism,Vitamin B2 metabolism,  ,  ,  ,  ,  ,  
Pgm2,Fructose and mannose metabolism,Glycolysis/gluconeogenesis,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Uqcrfs1,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hacd4,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ppcdc,CoA synthesis,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acot13,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Etfdh,Fatty acid oxidation,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fuca2,Keratan sulfate degradation,N-glycan degradation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pnpla2,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pmpca,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acadsb,Butanoate metabolism,Fatty acid oxidation,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mtap,Arginine and proline metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufb7,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sdhd,Citric acid cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sdha,Citric acid cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acad8,Butanoate metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lap3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Uqcrc2,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Oxct1,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Higd2a,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rpp14,Eicosanoid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Paics,Purine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gatm,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rpl14,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp5e,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufa6,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufa13,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mboat2,Glycerophospholipid metabolism,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cers4,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufb8,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufa10,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a19,"Transport, extracellular","Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pigc,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gpx7,Arachidonic acid metabolism,Glutathione metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nanp,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lyzl1,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Qprt,NAD metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Decr1,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Entpd4,Nucleotide interconversion,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abhd5,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abcg8,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc47a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Agpat2,Glycerophospholipid metabolism,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Uqcrb,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mgat4d,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pigm,Phosphatidylinositol phosphate metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mgat4c,N-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a26,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ftmt,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sdhb,Citric acid cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aldh3b1,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Histidine metabolism,Miscellaneous,Phenylalanine metabolism,Pyruvate metabolism,Tyrosine metabolism,Vitamin C metabolism,  ,  ,  ,  ,  
Slc25a37,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Lipf,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mansc1,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aadac,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc38a2,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dgat2,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp1b4,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Idh3a,Citric acid cycle,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Akr1b10,Propanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a11,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Enoph1,Methionine and cysteine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dcxr,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mdp1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Uxs1,Aminosugar metabolism,Nucleotide sugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ppa1,Oxidative phosphorylation,Purine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Galntl5,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plpp3,Glycerophospholipid metabolism,Sphingolipid metabolism,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ces5a,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp5g2,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Kmt5a,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp2b1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gnpda2,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nudt12,NAD metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Col4a3bp,"Transport, endoplasmic reticular","Transport, golgi apparatus",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dmac2l,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gcsh,"Glycine, serine, alanine, and threonine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufb4,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufc2,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufb2,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufa5,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Agpat4,Glycerophospholipid metabolism,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pdhb,Glycolysis/gluconeogenesis,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a22,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pomgnt1,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Stt3b,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gstm7,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufb10,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufs3,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufa8,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mogat1,Triacylglycerol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
G6pc3,Glycolysis/gluconeogenesis,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Uckl1,Nucleotide interconversion,Purine synthesis,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dpm3,N-glycan synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pmvk,Cholesterol metabolism,Squalene and cholesterol synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pcyt2,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acss1,Glycolysis/gluconeogenesis,Miscellaneous,Propanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v1c2,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Elovl5,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Haghl,Pyruvate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Spcs1,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pycr2,Arginine and proline metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pnlip,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gmppa,Fructose and mannose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sult1c2,Phenylalanine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Comtd1,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Kmt2e,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sat2,Arginine and proline metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc38a4,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Glrx2,Vitamin C metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rwdd2a,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gpx8,Arachidonic acid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Clybl,Citric acid cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pxdn,Phenylalanine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc52a3,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cad,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Smyd3,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bdh2,Propanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufa11,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp2c66,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Cytochrome metabolism,Drug metabolism,Limonene and pinene degradation,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  
Agk,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Galk2,Galactose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sis,Galactose metabolism,Miscellaneous,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ace2,Miscellaneous,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acot7,Bile acid synthesis,Fatty acid oxidation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Degs2,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sdr9c7,Propanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Kyat1,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufab1,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pigw,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mpc2,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc35d2,"Transport, golgi apparatus",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ddo,Alanine and aspartate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Kdsr,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Hacd2,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Kynu,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nt5c1b,NAD metabolism,Nucleotide interconversion,Purine catabolism,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Pgm2l1,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Glt6d1,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Oxsm,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc29a3,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Rbks,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dhrs2,Propanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp2u1,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ggt6,Fatty acid oxidation,Glutathione metabolism,Leukotriene metabolism,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  
Afmid,Tryptophan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fuca1,Keratan sulfate degradation,N-glycan degradation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acy3,Alanine and aspartate metabolism,Urea cycle,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp5h,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Galnt14,O-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Coasy,CoA synthesis,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Etnppl,Alanine and aspartate metabolism,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Amdhd1,Histidine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ugt2b1,Bile acid synthesis,Drug metabolism,Steroid metabolism,Vitamin A metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Isyna1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Chst13,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a18,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dpep3,Leukotriene metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Coq2,Ubiquinone synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Chit1,Aminosugar metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plpp5,Glycerophospholipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Bdh1,Butanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Car13,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cers5,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyb5r1,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mccc1,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp4f18,Arachidonic acid metabolism,Drug metabolism,Eicosanoid metabolism,Fatty acid oxidation,Leukotriene metabolism,  ,  ,  ,  ,  ,  ,  ,  
Gcnt3,O-glycan metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp2c55,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Cytochrome metabolism,Drug metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  ,  
Pigx,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Entpd8,Nucleotide interconversion,Purine catabolism,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ugt2a3,Bile acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dusp11,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Chst14,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pgm1,Glycolysis/gluconeogenesis,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cda,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B3gnt3,Blood group synthesis,Glycosphingolipid metabolism,Keratan sulfate synthesis,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp2c65,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Cytochrome metabolism,Drug metabolism,Limonene and pinene degradation,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  
Slc43a1,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plcd3,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc16a10,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aldh1b1,Beta-Alanine metabolism,Bile acid synthesis,Eicosanoid metabolism,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Miscellaneous,Pyruvate metabolism,Tryptophan metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  
Pcbd2,Tetrahydrobiopterin metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
B3gat3,Chondroitin synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ndufv2,Oxidative phosphorylation,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Phykpl,Miscellaneous,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc17a7,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tymp,Pyrimidine catabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Fut11,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a16,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tm7sf2,Cholesterol metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Setd7,Lysine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a31,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Aldh3b3,Glycolysis/gluconeogenesis,Glyoxylate and dicarboxylate metabolism,Histidine metabolism,Miscellaneous,Phenylalanine metabolism,Pyruvate metabolism,Tyrosine metabolism,Vitamin C metabolism,  ,  ,  ,  ,  
Cybrd1,Heme synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mcee,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Atp6v1d,"Transport, lysosomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc35b2,"Transport, golgi apparatus",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc25a27,"Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sdr42e1,Propanoate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nol9,Pyrimidine synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plce1,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Nmnat3,NAD metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Abcb6,"Transport, extracellular","Transport, mitochondrial",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Crot,Fatty acid oxidation,"Transport, peroxisomal",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Dmgdh,"Glycine, serine, alanine, and threonine metabolism",Methionine and cysteine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Cyp2s1,Androgen and estrogen synthesis and metabolism,Arachidonic acid metabolism,Linoleate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Ehhadh,Drug metabolism,Fatty acid oxidation,Miscellaneous,Tryptophan metabolism,"Valine, leucine, and isoleucine metabolism",  ,  ,  ,  ,  ,  ,  ,  
Acot12,Pyruvate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gpcpd1,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gbe1,Starch and sucrose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Acsl3,Fatty acid oxidation,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Chpf,Chondroitin synthesis,Tyrosine metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Gale,Aminosugar metabolism,Galactose metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Mtmr3,Phosphatidylinositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Slc6a19,"Transport, extracellular",  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Plpp6,Inositol phosphate metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Tktl2,Pentose phosphate pathway,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Sgms2,Glycerophospholipid metabolism,Sphingolipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pank2,CoA synthesis,,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pgs1,Glycerophospholipid metabolism,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Pck2,Glycolysis/gluconeogenesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
Elovl7,Fatty acid synthesis,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  ,  
