mets,mets_name,genes,rxns,subsystems
3dhchol[c],"3-Dehydrocholic acid; 3oxo-7alpha,12alpha-Dihydroxy-5beta-cholan-24-oic acid",,r2012,"Transport, extracellular"
3dhchol[e],"3-Dehydrocholic acid; 3oxo-7alpha,12alpha-Dihydroxy-5beta-cholan-24-oic acid",,HMR_0276,Fatty acid oxidation
lnlncg[e],Gamma-Linolenate,,7DHCDCHOLabc,"Transport, extracellular"
2aobut[m],L-2-Amino-3-Oxobutanoic Acid,,EX_amp_e,Exchange/demand reaction
HC02208[e],Prostaglandin-D1,,r1052,"Transport, lysosomal"
HC02208[c],Prostaglandin-D1,,r2374,"Transport, mitochondrial"
pmtcrn[r],L-Palmitoylcarnitine,,r1028,"Transport, extracellular"
o2s[n],Superoxide,,PCRNte,"Transport, extracellular"
hexdiac[e],Hexadecanediocacid,,7DHCHSTEROLt,"Transport, extracellular"
dhcholestanate[m],"3Alpha,7Alpha-Dihydroxy-5Beta-Cholestanate",,EX_M00117_e,Exchange/demand reaction
docosac[e],Docosanoic Acid,,r2002,"Transport, extracellular"
12ppd__S[c],"(S)-Propane-1,2-Diol",,NACHEXA20ly,Keratan sulfate degradation
xol7ah2[m],"5Beta-Cholestane-3Alpha,7Alpha-Diol",,C160CPT1,Fatty acid oxidation
xol7ah3[m],"5Beta-Cholestane-3Alpha,7Alpha,26-Triol",,EX_estrones_e,Exchange/demand reaction
so4[r],Sulfate,,r1851,"Transport, extracellular"
smv[r],simvastatin lactone form,,FAOXC61C4m,Fatty acid oxidation
mal__L[x],(S)-Malate,,r1580,"Transport, extracellular"
tmd[e],Torasemide,,BAAT5x,Bile acid synthesis
tmd[c],Torasemide,,EX_hdca_e,Exchange/demand reaction
HC01408[m],3-Oxo-Hexanoyl Coenzyme A,,CYSTS,Methionine and cysteine metabolism
meracmp[c],acetaminophen-mercapturate-conjugate/N-acetyl-cysteine-acetaminophen,,HMR_0253,"Transport, extracellular"
meracmp[e],acetaminophen-mercapturate-conjugate/N-acetyl-cysteine-acetaminophen,,r1621,"Transport, extracellular"
tdca3s[c],Taurodeoxycholic acid 3-sulfate,,CORE6GTg,O-glycan metabolism
ak2lgchol_hs[c],1-Alkyl 2-Lysoglycerol 3-Phosphocholine,,RE1448N_1,Phosphatidylinositol phosphate metabolism
nh4[n],Ammonium,,SK_ficytb5_c,
dnad[n],Deamino-Nad+,,r1995,"Transport, extracellular"
nad[n],Nicotinamide Adenine Dinucleotide,,EX_arachd_e,Exchange/demand reaction
amp[n],Adenosine Monophosphate,,PDE1g,Nucleotide interconversion
estradiol[c],Estradiol,,SK_pro__L_c,Exchange/demand reaction
estrone[c],Estrone,,r1897,"Transport, extracellular"
glcur1p[c],D-Glucuronate 1-Phosphate,,NDPK3n,Nucleotide interconversion
HC02207[e],Prostaglandin-C2,,UDPACGALtl,"Transport, lysosomal"
HC02207[c],Prostaglandin-C2,,r0993,"Transport, extracellular"
4hatvlac[r],4-hydroxy-atorvastatin-lactone / para-hydroxy-atorvastatin lactone,,EX_6epvs_e,Exchange/demand reaction
HC02191[e],Lithocholate,,CATm,ROS detoxification
6thf[c],Hexaglutamyl Folate (Thf),,DNDPt63m,"Transport, mitochondrial"
prostgf2[e],Prostaglandin F2Alpha,,SK_5HPET_c,Exchange/demand reaction
dgchol[e],Glycochenodeoxycholate,,NORMETEVESSte,"Transport, extracellular"
o2s[x],Superoxide,,r1683,"Transport, extracellular"
5adtststerones[c],5Alpha-Dihydrotestosterone Sulfate,,EX_h2o_e,Exchange/demand reaction
3mox4hpac[m],(4-Hydroxy-3-Methoxyphenyl)Acetaldehyde,,DATPtm_cho,"Transport, mitochondrial"
homoval[m],Homovanillate,,r1162,"Transport, extracellular"
ptrc[e],Putrescine,,MALTTTRt,"Transport, extracellular"
mescon[m],Mesaconate,,r1025,Bile acid synthesis
pdx5p[c],Pyridoxine 5-Phosphate,,HMR_0347,"Transport, extracellular"
acgal1p[c],N-Acetyl-D-Galactosamine 1-Phosphate,,TMDS,Nucleotide interconversion
retfa[c],Fatty Acid Retinol,,FRUt1r,"Transport, extracellular"
dheas[e],3Beta-Hydroxyandrost-5-En-17-One 3-Sulfate,,SPHMYLNte,"Transport, extracellular"
dheas[c],3Beta-Hydroxyandrost-5-En-17-One 3-Sulfate,,FACOAE181,Fatty acid synthesis
Lkynr[e],L-Kynurenine,,ALOX12,Eicosanoid metabolism
hista[e],Histamine,,HC02220te,"Transport, extracellular"
aacoa[m],Acetoacetyl Coenzyme A,,SPTix,"Glycine, serine, alanine, and threonine metabolism"
12HPET[r],"12-Hydroperoxyeicosa-5,8,10,14-tetraenoate",,ATVETHGLUChc,Drug metabolism
CE7097[c],"5-Oxo-12(S)-Hydroxy-Eicosa-6E,8Z,10E,14Z-Tetraenoate",,EX_M02447_e,Exchange/demand reaction
mi1p__D[n],1D-Myo-Inositol 1-Phosphate,,r2020,"Transport, extracellular"
hdd2coa[x],Trans-Hexadec-2-Enoyl Coenzyme A,,r2521,"Transport, endoplasmic reticular"
HC01397[x],3S-Hydroxyhexadecanoyl Coenzyme A,,APRGSTRNt1e,"Transport, extracellular"
lgnc[e],Lignocerate,,PI345P3Pn,Inositol phosphate metabolism
lgnc[c],Lignocerate,,ACGAM2E,Aminosugar metabolism
dhea[c],3Beta-Hydroxyandrost-5-En-17-One,,r1925,"Transport, extracellular"
cbp[m],Carbamoyl Phosphate,,BALAtmr,"Transport, mitochondrial"
CE0347[c],12-Hydroxyeicosatetraenoate,,HMR_6500,Vitamin E metabolism
HC02216[e],Prostaglandin-F2Beta,,3SALAOX,Taurine and hypotaurine metabolism
HC02216[c],Prostaglandin-F2Beta,,r2508,"Transport, endoplasmic reticular"
lpro[m],Lipoylprotein,,CYOOm2i,Oxidative phosphorylation
alpro[m],S-Aminomethyldihydrolipoylprotein,,EX_prostge1_e,Exchange/demand reaction
cholate[m],Cholate,,FTHFLi,Folate metabolism
hxdcal[c],Hexadecanal,,HMR_9621,"Transport, extracellular"
arg__L[m],L-Arginine,,r0789,Sphingolipid metabolism
dcacoa[c],Decanoyl Coenzyme A (N-C10:0 Coenzyme A),,SPHMYLN18114_hs_SECt,"Transport, extracellular"
mmcoa__S[m],(S)-Methylmalonyl Coenzyme A,,PYDXPP,Vitamin B6 metabolism
dhcholestancoa[c],"3Alpha,7Alpha-Dihydroxy-5Beta-Cholestanoyl Coenzyme A",,ICDCHOLt2,"Transport, extracellular"
L_dpchrm[c],L-Dopachromate,,EX_dopa_e,Exchange/demand reaction
2c23dh56dhoxin[c],"2-Carboxy-2,3-Dihydro-5,6-Dihydroxyindole",,ESTRADIOLGLCt2,"Transport, extracellular"
pentcoa[m],Pentanoyl Coenzyme A,,PDE4g,Nucleotide interconversion
odecrn[r],L-Oleoylcarnitine,,MALTe,Starch and sucrose metabolism
tdca3s[e],Taurodeoxycholic acid 3-sulfate,,r0756,Miscellaneous
dpcoa[l],Dephospho Coenzyme A,,O2tn,"Transport, nuclear"
forglu[c],N-Formimidoyl-L-Glutamate,,r2156,"Transport, extracellular"
CE7097[m],"5-Oxo-12(S)-Hydroxy-Eicosa-6E,8Z,10E,14Z-Tetraenoate",,GLYC3Ptm,"Transport, mitochondrial"
nicrnt[n],Nicotinate D-Ribonucleotide,,PELINL_HSt1e,"Transport, extracellular"
pail3p_hs[n],1-Phosphatidyl-1D-Myo-Inositol 3-Phosphate,,2AMACHYD,"Glycine, serine, alanine, and threonine metabolism"
pmtcrn[x],L-Palmitoylcarnitine,,CLPNDCOAtx,"Transport, peroxisomal"
dhap[m],Dihydroxyacetone Phosphate,,FAOXC150m,Fatty acid oxidation
pchol_hs[r],Phosphatidylcholine,,HMR_2569,"Transport, endoplasmic reticular"
3sala[m],3-Sulfino-L-Alanine,,r0086,Urea cycle
3snpyr[m],3-Sulfinopyruvate,,r2175,"Transport, extracellular"
CE5155[x],Docosenoyl Coenzyme A,,EX_gthrd_e,Exchange/demand reaction
CE5154[x],"Trans,Cis-2,13-Docosadienoyl Coenzyme A",,r0986,"Transport, lysosomal"
dcacoa[x],Decanoyl Coenzyme A (N-C10:0 Coenzyme A),,r2158,"Transport, extracellular"
dc2coa[x],Trans-Dec-2-Enoyl Coenzyme A,,ALAyLATthc,"Transport, extracellular"
acmp[c],acetaminophen/paracetamol,,HSD11B1r,Steroid metabolism
dag_hs[e],Diglyceride,,ACOADH60_m,Fatty acid oxidation
mag_hs[e],Monoacylglycerol 2,,r1299,"Transport, lysosomal"
leu__L[m],L-Leucine,,H2Otn,"Transport, nuclear"
oxa[x],Oxalate,,PCHOL_HStg,"Transport, golgi apparatus"
quln[c],Quinolinic Acid,,4TMEABUTNt1,"Transport, extracellular"
dhmtp[c],"1,2-Dihydroxy-5-(Methylthio)Pent-1-En-3-One",,r0997,"Transport, peroxisomal"
phyt[x],Phytanate,,NDP6,Nucleotide interconversion
3dhdchol[c],3-dehydro-Deoxycholate,,PE203_HSt1e,"Transport, extracellular"
Ser_Gly_Ala_X_Gly[c],Protein-Linked Serine Residue (Glycosaminoglycan Attachment Site),,EX_asp__D_e,Exchange/demand reaction
hdd2crn[e],Trans-Hexadec-2-Enoyl Carnitine,,r1116,"Transport, extracellular"
HC02205[e],Prostaglandin-B2,,r2492,"Transport, extracellular"
HC02205[c],Prostaglandin-B2,,r2013,"Transport, extracellular"
xan[c],Xanthine,,GLXtp,"Transport, peroxisomal"
phom[c],O-Phosphonato-L-Homoserine,,2MOPtm,"Transport, mitochondrial"
M01207[e],"8Z,11Z-Eicosadienoic Acid",,P45017A4r,Steroid metabolism
ptvstlac[r],pitavastatin-lactone,,GALGLUSIDEtg,"Transport, golgi apparatus"
alpam[m],S-Aminomethyldihydrolipoamide,,r2141,"Transport, extracellular"
glac[r],"D-Glucurono-6,3-Lactone",,r1544,"Transport, extracellular"
HC02187[e],"3,3,5-Triiodothyronine",,GDCA3St,"Transport, extracellular"
HC00004[e],Apoa1,,r2017,"Transport, extracellular"
HC00006[e],ApoC1,,C05769te,"Transport, extracellular"
HC00007[e],ApoC2,,r2003,"Transport, extracellular"
HC00008[e],ApoC3,,ECOAR,Fatty acid synthesis
hdl_hs[e],High Density Lipoprotein,,THYOCHOLabc,"Transport, extracellular"
orot[e],Orotate,,3HPVSteb,Drug metabolism
dtmp[m],Deoxythymidine-5-Phosphate,,NACHEXA21ly,Keratan sulfate degradation
din[e],Deoxyinosine,,GQ1Btg,"Transport, golgi apparatus"
dhap[x],Dihydroxyacetone Phosphate,,r2216,"Transport, extracellular"
HC02196[e],Glycoursodeoxycholate,,HMR_0831,"Transport, lysosomal"
HC02196[c],Glycoursodeoxycholate,,r2495,"Transport, extracellular"
crn[e],L-Carnitine,,THYOCHOLt2,"Transport, extracellular"
HC01434[c],Oxalosuccinate,,RE2655R,Vitamin A metabolism
glyc3p[x],Glycerol 3-Phosphate,,r1911,"Transport, extracellular"
pyam5p[c],Pyridoxamine 5-Phosphate,,RE1897C,Urea cycle
pydam[c],Pyridoxamine,,HMR_0235,"Transport, extracellular"
succ[e],Succinate,,ALCD19y,Glycerophospholipid metabolism
M02103[c],Heptadecenoylcarnitine(8),,UDCA3St,"Transport, extracellular"
M02103[m],Heptadecenoylcarnitine(8),,FACOAL2251,Fatty acid oxidation
M02102[c],Heptadecenoylcarnitine(7),,ALAATB0tc,"Transport, extracellular"
M02102[m],Heptadecenoylcarnitine(7),,ILEPHELAT2tc,"Transport, extracellular"
xylu__L[c],L-Xylulose,,LEUATB0tc,"Transport, extracellular"
3dhguln[c],3-Dehydro-L-Gulonate,,MMAte,"Transport, extracellular"
3htdcoa[x],(S)-3-Hydroxytetradecanoyl Coenzyme A,,O16G2e,Starch and sucrose metabolism
HC01412[x],(2E)-Tetradecenoyl Coenzyme A,,FCLT,Heme synthesis
chsterols[c],Cholesterol Sulfate,,PIt9,"Transport, extracellular"
CE5665[c],Leukoaminochrome,,HMR_0419,"Transport, extracellular"
prgstrn[c],Progesterone,,NDPK6m,Nucleotide interconversion
HC02202[e],Prostaglandin-A1,,C05463t1,"Transport, extracellular"
HC02202[c],Prostaglandin-A1,,CLI2tex,"Transport, extracellular"
6dhf[m],Hexaglutamyl Folate (Dhf),,r2385,"Transport, mitochondrial"
7dhf[m],Heptaglutamyl Folate (Dhf),,Pe13_HSt1e,"Transport, extracellular"
ttdca[e],Tetradecanoic Acid,,r1533_1,"Transport, extracellular"
gm1_hs[e],Ganglioside Gm1,,3HAO,Tryptophan metabolism
thr__L[m],L-Threonine,,CARN1619Zt_m,"Transport, mitochondrial"
17ahprgstrn[c],17Alpha-Hydroxyprogesterone,,r2532,"Transport, extracellular"
gudac[e],Guanidinoacetic Acid,,r1528,"Transport, extracellular"
HC02110[r],4Alpha-Methylzymosterol,,MDHm,Citric acid cycle
itp[n],Iinosine-5-Triphosphate,,SPHMYLN18123_hs_SECt,"Transport, extracellular"
M00977[c],"7Alpha,12Alpha,26-Trihydroxycholest-4-En-3-One",,HAS2,Hyaluronan metabolism
M01082[c],"5Beta-Cholestan-7Alpha,12Alpha,27-Triol-3-One",,r1756,"Transport, extracellular"
grdp[c],Geranyl Diphosphate,,GMPS2,Nucleotide interconversion
acmpglut[e],acetaminophen-glutathione-conjugate,,r2338,"Transport, extracellular"
acmpglut[c],acetaminophen-glutathione-conjugate,,SK_tmndnc_c,Exchange/demand reaction
galside_hs[g],D-Galactosyl-N-Acylsphingosine,,DSAT,Sphingolipid metabolism
prostgd2[e],Prostaglandin D2,,GLCt4_2,"Transport, extracellular"
HC01118[r],Presqualene Diphosphate,,r2254,"Transport, extracellular"
his__L[m],L-Histidine,,r0836,"Transport, mitochondrial"
eicostet[c],Omega-3-Arachidonic Acid,,r1523,"Transport, extracellular"
q10h2[c],Ubiquinol-10,,r2149,"Transport, extracellular"
HC00900[c],Methylmalonate,,r2147,"Transport, extracellular"
HC00900[e],Methylmalonate,,r1983,"Transport, extracellular"
3mob[m],3-Methyl-2-Oxobutanoate,,EX_pcholdoc_hs_e,Exchange/demand reaction
val__L[m],L-Valine,,r0186,Glycerophospholipid metabolism
dsmsterol[c],Desmosterol,,FAOXC2251836m,Fatty acid oxidation
acald[x],Acetaldehyde,,ACALDtr,"Transport, endoplasmic reticular"
tetpent3coa[x],"(9Z,12Z,15Z,18Z,21Z)-Tetracosapentaenoyl Coenzyme A",,DNDPt42m,"Transport, mitochondrial"
caproic[c],Caproic Acid,,PI4PLCn,Inositol phosphate metabolism
3ohdcoa[m],3-Oxopalmitoyl Coenzyme A,,2OXOADPTm,Tryptophan metabolism
lnlccrn[x],Linoleyl Carnitine,,GALSIDEtl,"Transport, lysosomal"
gcdca3s[c],Glycochenodeoxycholic acid 3-sulfate,,EX_ala__L_e,Exchange/demand reaction
leuktrF4[e],Leukotriene F4,,r1024,"Transport, endoplasmic reticular"
carn[c],Carnosine,,5HPETATP,"Transport, extracellular"
dlnlcg[e],Dihomo-Gamma-Linolenate,,RE1923C,Tyrosine metabolism
dopaqn[c],L-Dopaquinone,,UREAt5,"Transport, extracellular"
HC01377[m],S-(3-Methylbutanoyl)-Dihydrolipoamide,,CHOLATEt3,"Transport, extracellular"
undcoa[m],Undecanoyl Coenzyme A,,PIK5n,Inositol phosphate metabolism
tridcoa[m],Tridecanoyl Coenzyme A,,COPROSTabc,"Transport, extracellular"
5mthf[e],5-Methyltetrahydrofolate,,L_LACtm,"Transport, mitochondrial"
betald[m],Betaine Aldehyde,,GLNASNNaEx,"Transport, extracellular"
prgnlone[r],Pregnenolone,,C05953t,"Transport, extracellular"
17ahprgnlone[r],17Alpha-Hydroxypregnenolone,,FAS180COA,Fatty acid synthesis
7dhchol[c],"7-Dehydrocholic acid; 7-Oxodeoxycholic acid; 7oxo-3alpha,12alpha-Dihydroxy-5beta-cholan-24-oic acid",,HMR_3106,"Transport, peroxisomal"
7dhchol[e],"7-Dehydrocholic acid; 7-Oxodeoxycholic acid; 7oxo-3alpha,12alpha-Dihydroxy-5beta-cholan-24-oic acid",,SO4OXAtex2,"Transport, extracellular"
HC01397[m],3S-Hydroxyhexadecanoyl Coenzyme A,,HMR_3338,Fatty acid oxidation
arach[e],Arachidic Acid,,r1871,"Transport, extracellular"
crvnc[e],"Cervonic Acid, C22:6 N-3",,r1648,"Transport, extracellular"
elaid[e],(9E)-Octadecenoic Acid,,EX_leuktrD4_e,Exchange/demand reaction
hpdca[e],Margaric Acid,,HMR_3094,Fatty acid oxidation
lnlc[e],Linoleate,,4HGLSDm,Arginine and proline metabolism
nrvnc[e],Nervonic Acid,,GGT6,Eicosanoid metabolism
ocdcea[e],Octadecenoate (N-C18:1),,r1935,"Transport, extracellular"
ptdca[e],Pentadecanoic Acid,,MTHFD2m,Folate metabolism
tmndnc[e],"Timnodonic Acid C20:5, N-3",,ATVLACitr,Drug metabolism
CE2510[e],11-Cis-Eicosenoate,,r1587,"Transport, extracellular"
ttdcea[e],9E-Tetradecenoic Acid (N-C14:1),,FPGS3m,Folate metabolism
M00017[e],13Z-Eicosenoic Acid,,NDPK1n,Nucleotide interconversion
M00021[e],"13Z,16Z-Docosadienoic Acid",,HMR_0406,Fatty acid oxidation
M00115[e],7Z-Octadecenoic Acid,,FE2DMT1,"Transport, extracellular"
M00265[e],"10Z,13Z,16Z-Docosatriynoic Acid",,RE0578C,Fatty acid synthesis
M00341[e],"13Z,16Z,19Z-Docosatrienoic Acid",,FATP6t,"Transport, extracellular"
M01235[e],9Z-Eicosenoic Acid,,HMR_0806,Glycosphingolipid metabolism
M01582[e],11Z-Docosenoic Acid,,HMR_1620,"Transport, mitochondrial"
M02053[e],Heneicosanoic Acid,,CHOLESACATc_1,Cholesterol metabolism
M02457[e],"5Z,8Z,11Z-Eicosatrienoic Acid",,ACNAMtr,"Transport, extracellular"
M02745[e],5Z-Tetradecenoic Acid,,r0924,"Transport, extracellular"
M03051[e],Tridecanoic Acid,,r2330,"Transport, extracellular"
thmpp[c],Thiamine Diphosphate,,VLCS2r,Bile acid synthesis
thmpp[m],Thiamine Diphosphate,,EX_met__L_e,Exchange/demand reaction
hyochol[c],Hyocholic acid; gamma-Muricholate,,GTHRDtr,"Transport, endoplasmic reticular"
hyochol[e],Hyocholic acid; gamma-Muricholate,,SMOX,Beta-Alanine metabolism
4abutn[c],4-Aminobutanal,,r1639,"Transport, extracellular"
3aib__D[m],D-3-Amino-Isobutanoate,,r2304,"Transport, extracellular"
thbpt4acam[c],4A-Hydroxytetrahydrobiopterin,,3DHLCAt,"Transport, extracellular"
3hibutcoa[m],(S)-3-Hydroxyisobutyryl Coenzyme A,,ARACHCPT2,Fatty acid oxidation
nmn[c],Nicotinamide Ribotide,,ADPRDP,Nucleotide interconversion
rnam[c],N-Ribosylnicotinamide,,HACD4m,Fatty acid oxidation
tca3s[c],Taurocholic acid 3-sulfate,,HMR_0431,"Transport, extracellular"
tca3s[e],Taurocholic acid 3-sulfate,,EX_ca2_e,Exchange/demand reaction
CE4989[c],"20-Oh-10,11-Dihydro-Leukotriene B4",,THRALANaEx,"Transport, extracellular"
dchac[e],Deoxycholate,,FAOXC141C121m,Fatty acid oxidation
c226coa[x],Cervonyl Coenzyme A,,EX_ala__D_e,Exchange/demand reaction
2mbcoa[m],2-Methylbutanoyl Coenzyme A,,r1943,"Transport, extracellular"
3mob[c],3-Methyl-2-Oxobutanoate,,GALGLUSIDEtg2,"Transport, extracellular"
andrstrn[c],Androsterone,,PCHOL2LINL_HSt1e,"Transport, extracellular"
andrstandn[c],"5Alpha-Androstane-3,17-Dione",,3HPVShc,Drug metabolism
thmmp[c],Thiamin Monophosphate,,HMGLx,Cholesterol metabolism
CE2873[c],"3,5-Diiodo-L-Thyronine 4-O-Sulfate",,EX_pcholn226_hs_e,Exchange/demand reaction
CE2872[c],"3,5-Diiodo-L-Thyronine",,EX_glc__D_e,Exchange/demand reaction
3ohdcoa[x],3-Oxopalmitoyl Coenzyme A,,r1968,"Transport, extracellular"
tdcoa[x],Myristoyl Coenzyme A,,DRBK,Pentose phosphate pathway
xol7ah2al[m],"3Alpha,7Alpha-Dihydroxy-5Beta-Cholestan-26-Al",,r2384,"Transport, mitochondrial"
nrvnccoa[x],Cis-15-Tetracosenoyl Coenzyme A,,DM_pe_hs_c,Exchange/demand reaction
M00879[x],3-Oxo-Hexacosenoyl Coenzyme A,,PTE2x,Fatty acid oxidation
leuktrB4[r],Leukotriene B4,,r1551,"Transport, extracellular"
CE0347[r],12-Hydroxyeicosatetraenoate,,IPDPtx,"Transport, peroxisomal"
M02758[c],Phosphatidyl-N-Dimethylethanolamine,,GALt4,"Transport, extracellular"
srtn[e],Serotonin,,EX_lcts_e,Exchange/demand reaction
HC02192[e],Taurolithocholate,,EX_cgly_e,Exchange/demand reaction
sarcs[x],Sarcosine,,r1788,"Transport, extracellular"
CE1944[c],1-Pyrroline,,r1785,"Transport, extracellular"
dnad[c],Deamino-Nad+,,HMR_0653,Glycerophospholipid metabolism
3hbcoa[m],(S)-3-Hydroxybutanoyl Coenzyme A,,ARACHCOAtx,"Transport, peroxisomal"
3mhis[c],3-Methylhistidine,,r2195,"Transport, extracellular"
3mhis[e],3-Methylhistidine,,DCSPTN1COAtxc,"Transport, peroxisomal"
gca3s[c],Glycocholic acid 3-sulfate,,HC02197c,Bile acid synthesis
gca3s[e],Glycocholic acid 3-sulfate,,EX_lys__L_e,Exchange/demand reaction
dmnoncoa[c],"4,8 Dimethylnonanoyl Coenzyme A",,r0936,"Transport, endoplasmic reticular"
peste_hs[c],1-Stearoylglycerophosphoethanolamine,,NADPHtru,"Transport, endoplasmic reticular"
lca3s[c],Lithocholic acid 3-sulfate,,r1636,"Transport, extracellular"
lca3s[e],Lithocholic acid 3-sulfate,,DURItn,"Transport, nuclear"
ttdcrn[e],Tetradecenoylcarnitine(5),,P45011A1m,Steroid metabolism
ldl_hs[e],Low Density Lipoprotein,,GLCter,"Transport, endoplasmic reticular"
tethex3coa[x],"Tetracosa-6,9,12,15,18,21-All-Cis-Hexaenoyl Coenzyme A",,r0859,Purine catabolism
lald__L[c],(S)-Lactaldehyde,,TCHOLAt3,"Transport, extracellular"
udpxyl[c],Uridine-5-Diphosphate-Alpha-D-Xylose,,EX_pvs_e,Exchange/demand reaction
tethex3[c],"6Z,9Z,12Z,15Z,18Z,21Z-Tetracosahexaenoic Acid",,r2283,"Transport, extracellular"
hdcecrn[e],Palmitoleoyl-Carnitine,,TCDCA3St,"Transport, extracellular"
odecoa[x],Octadecenoyl Coenzyme A (N-C18:1 Coenzyme A),,METyLATthc,"Transport, extracellular"
HC00718[c],N-Methylethanolaminium Phosphate,,CYTDtn,"Transport, nuclear"
arachd[l],Arachidonate,,EX_6dhf_e,Exchange/demand reaction
pac[c],Phenylacetate,,FACOAE160,Fatty acid oxidation
34dhmald[m],"3,4-Dihydroxymandelaldehyde",,EX_ha_e,Exchange/demand reaction
34dhoxmand[m],"3,4-Dihydroxymandelate",,AASAD3,Lysine metabolism
dgsn[e],Deoxyguanosine,,HMR_2495,Fatty acid synthesis
acetone[c],Acetone,,r1547,"Transport, extracellular"
asp__L[e],L-Aspartate,,PHCHGSm,Arginine and proline metabolism
hdcea[l],Hexadecenoate (N-C16:1),,GBA,Sphingolipid metabolism
nac[e],Nicotinate,,EX_M00010_e,Exchange/demand reaction
nac[c],Nicotinate,,12DHCHOLt2,"Transport, extracellular"
fald[x],Formaldehyde,,IBUP_Rtdhep,Drug metabolism
tcynt[m],Thiocyanate,,r1996,"Transport, extracellular"
cholcoa[r],Choloyl Coenzyme A,,HOMt4,"Transport, extracellular"
thm[c],Thiamin,,r1828,"Transport, extracellular"
nrpphr[e],Norepinephrine,,ECOAH5p,Fatty acid oxidation
3mop[m],3-Methyl-2-Oxopentanoate,,r1575,"Transport, extracellular"
4izp[c],4-Imidazolone-5-Propanoate,,PYK4,Glycolysis/gluconeogenesis
dlnlcgcrn[r],"8Z,11Z,14Z-Eicosatrienoylcarnitine",,r1011,"Transport, endoplasmic reticular"
23dh1i56dio[c],"2,3-Dihydro-1H-Indole-5,6-Dione",,TMNDNCCOAtx,"Transport, peroxisomal"
ala__D[x],D-Alanine,,HMR_6839,Phenylalanine metabolism
CE2084[m],"5-Oxo-(6E,8Z,11Z,14Z)-Eicosatetraenoic Acid",,HMR_9805,Glycerophospholipid metabolism
xol7aone[e],7Alpha-Hydroxycholest-4-En-3-One,,RE2659R,Vitamin A metabolism
56dthm[m],"5,6-Dihydrothymine",,FAOXC22C20x,Fatty acid oxidation
stcrn[e],O-Octadecanoyl-R-Carnitine,,HMR_3229,Fatty acid oxidation
CE1273[c],"5Beta-Cholestane-3Alpha,7Alpha,12Alpha,24S,25-Pentol",,INSTt4_2,"Transport, extracellular"
CE1273[e],"5Beta-Cholestane-3Alpha,7Alpha,12Alpha,24S,25-Pentol",,r1791,"Transport, extracellular"
acgam[r],N-Acetyl-D-Glucosamine,,r2010,"Transport, extracellular"
3odcoa[x],3-Oxodecanoyl Coenzyme A,,RE0456N,Pyrimidine synthesis
xoltetrol[m],"5Beta-Cholestane-3Alpha,7Alpha,12Alpha,26-Tetrol",,ACt2r,"Transport, extracellular"
thcholst[m],"3Alpha,7Alpha,12Alpha-Trihydroxy-5Beta-Cholestan-26-Al",,r1613,"Transport, extracellular"
CE4874[c],"5Beta-Cholestane-3Alpha,7Alpha,12Alpha,27,27-Pentaol",,PPAtr,"Transport, extracellular"
noncoa[m],Nonanoyl Coenzyme A,,XOLEST183te,"Transport, extracellular"
hepcoa[m],Heptanoyl Coenzyme A,,r1920,"Transport, extracellular"
ibup__S[e],ibuprofen-S,,DNDPt5m,"Transport, mitochondrial"
so4[m],Sulfate,,FOLt2_1,"Transport, extracellular"
HC01712[m],S-Glutaryldihydrolipoamide,,STRDNCt,"Transport, extracellular"
ncam[c],Nicotinamide,,DAG_HStg,"Transport, golgi apparatus"
3hpvscoa[m],3-S-hydroxy-pravastatin-CoA,,HMR_0254,"Transport, extracellular"
3hpvstetcoa[m],3-S-hydroxy-pravastatin-tetranor-CoA,,GLYCLTDym,Glyoxylate and dicarboxylate metabolism
3otdcoa[m],3-Oxotetradecanoyl Coenzyme A,,GLCt4,"Transport, extracellular"
CE4987[c],"10,11-Dihydro-Leukotriene B4",,Ht,"Transport, extracellular"
dad_2[e],2-Deoxyadenosine,,r2314,"Transport, extracellular"
tym[e],Tyramine,,5AOPt2,"Transport, extracellular"
pglyc_hs[e],Phosphatidylglycerol,,PYK2,Glycolysis/gluconeogenesis
lneldccrn[e],"6Z,9Z-Octadecadienoylcarnitine",,r1772,"Transport, extracellular"
HC02121[c],Hydroxymethylglutathione,,AMPtp,"Transport, peroxisomal"
cbp[r],Carbamoyl Phosphate,,PCHOLN183_HSt1e,"Transport, extracellular"
cala[e],N-Carbamoyl-Beta-Alaninate,,HMR_3023,"Transport, peroxisomal"
pa_hs[r],Phosphatidate,,r2447,"Transport, extracellular"
inost[r],Myo-Inositol,,r2237,"Transport, extracellular"
HC01376[m],S-(2-Methylbutanoyl)-Dihydrolipoamide,,HMR_0232,"Transport, extracellular"
CE5153[x],3(S)-Hydroxy-13Cis-Docosenoyl Coenzyme A,,3DHCDCHOLt2,"Transport, extracellular"
